Precinct	DVote	RVote
1137	237	31
1138	293	38
1139	571	75
1140	371	49
1141	327	43
1142	557	180
1143	718	446
1144	281	117
1145	481	298
1146	411	170
1147	726	235
1148	733	237
1149	531	172
1150	969	314
1151	1038	336
1152	277	90
1153	835	270
1154	1229	398
1155	586	190
1156	1025	332
1157	1290	418
1158	590	191
1159	560	181
1160	638	207
1161	346	112
1162	591	191
1163	773	250
1164	703	228
1165	694	225
1166	963	312
1167	318	103
1168	658	272
1169	366	152
1170	669	277
1171	576	239
1172	429	178
1173	629	261
1174	526	64
1175	641	78
1176	922	113
1177	103	13
1178	89	11
1179	693	85
1180	135	16
1181	620	76
1182	499	190
1183	881	108
1184	543	66
1185	729	436
1186	1035	127
1187	748	447
1188	1024	612
1189	714	272
1190	515	308
1191	921	113
1192	838	103
1193	402	49
1194	912	348
1195	494	189
1196	632	241
1197	817	312
1198	755	288
1199	601	38
1200	288	18
1201	366	23
1202	474	30
1203	176	11
1204	220	6
1205	580	15
1206	346	835
1207	339	41
1208	298	36
1209	8	1
1210	191	23
1211	1199	147
1212	639	78
1213	235	29
1214	550	67
1215	462	276
1216	593	354
1217	120	517
1218	513	2212
1219	338	1739
1220	781	466
1221	413	247
1222	693	414
1223	327	195
1224	734	1573
1225	297	1542
1226	394	844
1227	430	2248
1228	251	1294
1229	196	1008
1230	327	1710
1231	1438	176
1232	1060	130
1233	764	94
1234	361	44
1235	836	102
1236	736	90
1237	775	95
1238	303	75
1239	34	1
1240	194	2
1241	139	2
1242	430	15
1243	251	33
1244	316	11
1245	87	3
1246	214	7
1247	385	13
1248	227	95
1249	158	21
1250	72	10
1251	167	4
1252	90	5
1253	40	1
1254	140	19
1255	380	10
1256	213	12
1257	405	24
1258	372	22
1259	235	14
1260	102	6
1261	116	26
1262	405	248
1263	465	284
1264	395	89
1265	214	48
1266	249	152
1267	486	64
1268	321	42
1269	228	132
1270	371	153
1271	257	107
1272	187	14
1273	222	3
1274	333	5
1275	209	3
1276	227	12
1277	182	6
1278	242	13
1279	398	10
1280	101	5
1281	447	89
1282	374	74
1283	453	24
1284	288	57
1285	482	96
1286	79	11
1287	230	32
1288	274	10
1289	264	29
1290	328	36
1291	192	27
1292	539	59
1293	157	17
1294	115	13
1295	331	36
1296	351	38
1297	288	15
1298	226	12
1299	391	51
1300	254	33
1301	977	316
1302	829	268
1303	613	159
1304	379	123
1305	595	193
1306	285	74
1307	622	258
1308	1073	444
1309	1063	276
1310	538	140
1311	540	140
1312	330	226
1313	370	254
1314	931	638
1315	660	452
1316	679	465
1317	508	316
1318	222	138
1319	281	133
1320	563	350
1321	385	240
1322	372	255
1323	538	369
1324	353	242
1325	283	194
1326	320	219
1327	383	263
1328	500	237
1329	584	242
1330	713	295
1331	643	440
1332	646	305
1333	338	5
1334	217	3
1335	187	3
1336	75	2
1337	329	9
1338	157	4
1339	189	5
1340	266	7
1341	359	9
1342	195	3
1343	360	5
1344	293	16
1345	159	2
1346	431	6
1347	333	9
1348	226	6
1349	596	15
1350	247	6
1351	399	10
1352	153	36
1353	76	18
1354	388	68
1355	435	31
1356	80	14
1357	299	17
1358	256	45
1359	307	178
1360	158	28
1361	182	105
1362	412	23
1363	421	26
1364	93	6
1365	509	32
1366	384	24
1367	499	28
1368	592	9
1369	360	22
1370	297	8
1371	301	8
1372	212	210
1373	314	374
1374	200	376
1375	232	276
1376	294	349
1377	159	298
1378	287	341
1379	339	404
1380	327	389
1381	330	295
1382	266	317
1383	440	524
1384	506	601
1385	158	188
1386	341	405
1387	238	283
1388	375	336
1389	176	209
1390	311	370
1391	222	219
1392	212	397
1393	386	344
1394	984	511
1395	599	311
1396	506	262
1397	495	257
1398	594	308
1399	656	340
1400	686	356
1401	438	227
1402	401	366
1403	281	257
1404	483	442
1405	987	512
1406	328	412
1407	373	469
1408	297	374
1409	328	413
1410	675	350
1411	707	367
1412	435	226
1413	817	424
1414	845	438
1415	919	476
1416	783	406
1417	460	579
1418	405	210
1419	585	36
1420	358	86
1421	151	9
1422	276	66
1423	321	20
1424	123	7
1425	390	185
1426	689	326
1427	419	287
1428	495	234
1429	893	422
1430	416	197
1431	564	267
1432	608	287
1433	497	235
1434	486	230
1435	351	166
1436	814	385
1437	447	211
1438	438	207
1439	282	133
1440	409	194
1441	433	205
1442	475	295
1443	240	149
1444	511	318
1445	374	456
1446	53	33
1447	699	435
1448	724	450
1449	315	196
1450	361	171
1451	323	509
1452	525	826
1453	344	542
1454	397	164
1455	527	218
1456	543	225
1457	248	221
1458	367	326
1459	354	315
1460	421	375
1461	270	241
1462	58	52
1463	440	392
1464	326	290
